Wall time,Step,Value
1485536422.361433,3704,1.0
1485536428.6590903,3725,0.96875
1485536429.5519977,3728,0.9375
1485536430.738463,3732,0.96875
1485536431.0435083,3733,1.0
1485536431.340284,3734,0.90625
1485536433.153091,3740,1.0
1485536434.074222,3743,0.96875
1485536434.6839037,3745,0.9375
1485536437.445268,3754,1.0
1485536439.5192304,3761,0.9375
1485536443.4018958,3774,0.9375
1485536444.6036053,3778,0.96875
1485536445.794105,3782,0.96875
1485536449.9734747,3795,1.0
1485536450.5829608,3797,0.96875
1485536451.534004,3800,0.9375
1485536455.3034728,3812,0.9375
1485536456.523278,3816,1.0
1485536458.0309734,3821,0.96875
1485536458.6377883,3823,0.96875
1485536461.9907455,3833,1.0
1485536462.5978441,3835,1.0
1485536463.2233443,3837,0.9375
1485536467.302017,3850,0.875
1485536472.2655888,3866,0.96875
1485536473.7483108,3871,0.96875
1485536475.8051147,3878,0.90625
1485536483.3010933,3903,1.0
1485536483.592833,3904,1.0
1485536483.902362,3905,1.0
1485536485.9609268,3912,0.96875
1485536489.010453,3922,0.9375
1485536491.3741684,3930,0.96875
1485536493.4298291,3937,0.96875
1485536494.6331122,3941,0.90625
1485536497.9166079,3952,0.9375
1485536499.6916702,3958,0.96875
1485536501.4673622,3964,0.96875
1485536506.8184247,3982,0.90625
1485536507.99679,3986,0.9375
1485536511.2603488,3997,1.0
1485536512.8711557,4002,0.9375
1485536514.3572104,4007,1.0
1485536515.5595899,4011,0.96875
1485536515.8727806,4012,0.9375
1485536519.1643436,4023,0.9375
1485536519.4529324,4024,0.90625
1485536522.7539117,4035,1.0
1485536523.3608818,4037,1.0
1485536523.6516702,4038,0.96875
1485536525.7374964,4045,0.96875
1485536526.6356812,4048,0.875
1485536526.9312427,4049,0.96875
1485536527.2274878,4050,1.0
1485536535.5314074,4078,0.96875
1485536540.5861444,4095,0.9375
1485536542.0646122,4100,0.9375
1485536542.3563929,4101,0.90625
1485536542.94844,4103,0.9375
1485536545.321175,4111,0.96875
1485536562.839688,4169,0.96875
1485536567.321903,4184,0.9375
1485536570.5780053,4195,0.96875
1485536570.8742537,4196,0.96875
1485536571.4778013,4198,0.96875
1485536572.0830631,4200,0.96875
1485536572.9725242,4203,1.0
1485536573.266429,4204,0.96875
1485536573.8700027,4206,1.0
1485536588.6115193,4229,1.0
1485536589.9505858,4234,0.96875
1485536590.8637743,4237,1.0
1485536591.7576315,4240,0.96875
1485536593.23999,4245,1.0
1485536596.5210214,4256,0.96875
1485536599.220748,4265,1.0
1485536600.1080103,4268,0.96875
1485536600.4059336,4269,0.9375
1485536603.0986226,4278,0.9375
1485536604.877914,4284,0.96875
1485536609.6281812,4300,0.96875
1485536611.419618,4306,1.0
1485536612.6043577,4310,1.0
1485536615.2773886,4319,1.0
1485536615.8847888,4321,1.0
1485536618.6713593,4330,0.90625
1485536619.8764865,4334,1.0
1485536621.677812,4340,1.0
1485536623.1634035,4345,1.0
1485536624.9863617,4351,1.0
1485536627.7100964,4360,1.0
1485536629.786374,4367,1.0
1485536630.9738708,4371,0.9375
1485536633.6790287,4380,0.96875
1485536638.134198,4395,0.96875
1485536640.23746,4402,1.0
1485536642.036323,4408,1.0
1485536643.2349796,4412,0.96875
1485536643.5309505,4413,0.9375
1485536649.2122214,4432,0.96875
1485536649.5070977,4433,0.9375
1485536650.1007972,4435,1.0
1485536651.894294,4441,0.90625
1485536652.7897892,4444,0.9375
1485536660.86704,4471,1.0
1485536662.6580048,4477,1.0
1485536663.8745148,4481,1.0
1485536664.7807343,4484,0.96875
1485536667.1704915,4492,1.0
1485536667.8243341,4494,1.0
1485536672.8727095,4511,0.96875
1485536673.1700325,4512,0.96875
1485536678.8668356,4531,1.0
1485536679.1633027,4532,1.0
1485536680.0491219,4535,1.0
1485536682.1368866,4542,0.9375
1485536682.7354317,4544,1.0
1485536685.1913278,4552,1.0
1485536685.8230946,4554,0.96875
1485536686.1287892,4555,0.96875
1485536690.036534,4568,0.9375
1485536690.6419039,4570,1.0
1485536693.6848035,4580,0.96875
1485536694.6016936,4583,0.96875
1485536697.8992798,4594,0.9375
1485536698.7974188,4597,1.0
1485536699.3944871,4599,1.0
1485536699.9962127,4601,0.9375
1485536703.6158433,4613,0.9375
1485536708.7186873,4630,0.96875
1485536713.1769893,4645,0.9375
1485536714.971309,4651,0.96875
1485536717.0662885,4658,1.0
1485536719.4614773,4666,0.9375
1485536720.6564007,4670,1.0
1485536722.764852,4677,1.0
1485536723.064016,4678,1.0
1485536723.362731,4679,0.96875
1485536726.3518937,4689,1.0
1485536732.6194274,4710,1.0
1485536734.1115963,4715,1.0
1485536735.5979898,4720,1.0
1485536737.378522,4726,0.9375
1485536740.3945081,4736,1.0
1485536741.8826942,4741,0.96875
1485536743.6533163,4747,0.96875
1485536744.8423705,4751,0.9375
